seg_id_nat,year,month,n,ANN,RGCN,RGCN_ptrn,RNN,seg,error_x,rand,error_expa,error_obs,group,mid,error_exp
2012,2009,7,31,1.237693048,1.018335683,0.914093047,1.706528659,2012_2009_7_d100,14,2,19.11958598,17.08291461,obs,17.58,16.85429611
2012,2009,8,31,1.01109947,0.893300029,0.858239401,1.724511054,2012_2009_8_d100,15,-1,15,15.89330003,obs,17.58,14.25440125
2012,2010,6,28,1.006053751,0.576428444,0.455038882,1.568766749,2012_2010_6_d100,16,-1,16,16.57642844,obs,17.58,18.09226486
2012,2010,7,31,0.715514797,0.67800392,0.835865946,1.605870339,2012_2010_7_d100,17,2,21.81761102,20.46160318,obs,17.58,19.13900589
2012,2010,8,31,0.918915655,0.728215266,0.863614556,1.568261884,2012_2010_8_d100,18,0,19.56826188,19.56826188,obs,17.58,21.04435059
2012,2011,6,30,1.186770732,0.67474594,0.398609482,1.903957196,2012_2011_6_d100,19,2,24.71187159,23.36237971,obs,17.58,24.23309853
2012,2011,7,31,0.892759909,0.829294148,0.911874831,1.662446268,2012_2011_7_d100,20,1,23.32489254,22.49559839,obs,17.58,15.36425774
2012,2011,8,31,1.22208605,1.243157752,1.169049975,1.702263379,2012_2011_8_d100,21,-1,21,22.24315775,obs,17.58,20.95755569
2012,2012,6,30,0.796099212,0.544764802,0.61261487,1.438702023,2012_2012_6_d100,22,-2,20.56129798,21.65082758,obs,17.58,22.15915863
2012,2012,7,31,0.962791693,1.055442715,1.231859414,1.866885659,2012_2012_7_d100,23,0,24.86688566,24.86688566,obs,17.58,24.95816101
2012,2012,8,31,0.563286159,0.469485553,0.636065972,1.198128355,2012_2012_8_d100,24,0,25.19812836,25.19812836,obs,17.58,29.25414467
2012,2013,6,30,0.873399989,0.617778707,0.655936832,0.980584312,2012_2013_6_d100,25,2,27.94175293,26.70619552,obs,17.58,25.49126503
2012,2013,7,31,0.581623929,0.423058207,0.429548928,1.099831506,2012_2013_7_d100,26,2,29.29949452,28.4533781,obs,17.58,27.25171341
2012,2013,8,31,0.541365562,0.397498406,0.397884043,0.787249871,2012_2013_8_d100,27,2,29.36174961,28.5667528,obs,17.58,25.88814941
2012,2014,6,28,1.035243692,0.583089207,0.39378544,1.575448562,2012_2014_6_d100,28,0,29.57544856,29.57544856,obs,17.58,28.09795639
2012,2014,7,29,1.052504698,0.677529568,0.644172715,1.906652538,2012_2014_7_d100,29,0,30.90665254,30.90665254,obs,17.58,30.17655304
2012,2014,8,31,1.184270364,1.047019543,1.115041228,1.762993358,2012_2014_8_d100,30,-2,28.23700664,30.33104573,obs,17.58,28.37959816
2012,2015,6,30,1.041608053,0.516384777,0.475206698,1.712328916,2012_2015_6_d100,1,0,2.712328916,2.712328916,exp,17.58,2.712328916
2012,2015,7,31,0.492625312,0.56191047,0.610302169,1.014230374,2012_2015_7_d100,2,-2,0.985769626,2.109590566,exp,17.58,2.109590566
2012,2015,8,31,0.732141927,0.529527347,0.568698244,1.456770484,2012_2015_8_d100,3,-1,3,3.529527347,exp,17.58,3.529527347
2012,2016,6,30,0.805884508,0.400108194,0.409710998,1.119914516,2012_2016_6_d100,4,0,5.119914516,5.119914516,exp,17.58,5.119914516
2012,2016,7,31,0.616912197,0.534224202,0.721263167,1.354758027,2012_2016_7_d100,5,2,9.064274081,7.995825678,exp,17.58,7.995825678
2012,2016,8,31,0.490831296,0.390377027,0.463895894,0.98682139,2012_2016_8_d100,6,-2,5.01317861,5.793932664,exp,17.58,5.793932664
2034,2005,6,1,3.296918945,3.764160233,1.907362061,2.563802795,2034_2005_6_d100,7,0,9.563802795,9.563802795,exp,17.58,9.563802795
2034,2005,8,1,0.151809921,1.412092438,0.66530777,1.417852173,2034_2005_8_d100,8,2,12.25355652,9.429371643,exp,17.58,9.429371643
2034,2006,6,1,2.425511322,1.943436584,0.120900116,2.025847397,2034_2006_6_d100,9,0,11.0258474,11.0258474,exp,17.58,11.0258474
2034,2006,7,1,0.247861481,1.694120026,0.309215927,0.41098938,2034_2006_7_d100,10,-2,9.58901062,12.97725067,exp,17.58,12.97725067
2034,2006,8,1,0.252936478,1.695832367,0.04741394,1.398699646,2034_2006_8_d100,11,-2,9.601300354,12.99296509,exp,17.58,12.99296509
2034,2007,7,1,1.69639946,2.852245102,1.162391434,0.599416504,2034_2007_7_d100,12,1,13.19883301,10.34658791,exp,17.58,10.34658791
2034,2007,8,1,1.636074371,2.590450592,0.806408234,0.277586288,2034_2007_8_d100,13,2,13.83275887,8.651857681,exp,17.58,8.651857681
2034,2008,6,1,2.579548264,2.229193115,0.576094055,1.604090118,2034_2008_6_d100,14,-2,12.39590988,16.85429611,exp,17.58,16.85429611
2034,2008,7,1,1.337119141,2.261523285,0.661814728,0.757962265,2034_2008_7_d100,15,1,16.51592453,14.25440125,exp,17.58,14.25440125
2034,2008,8,1,1.45595047,2.092264862,0.526747437,0.337776871,2034_2008_8_d100,16,-1,16,18.09226486,exp,17.58,18.09226486
2034,2009,6,1,3.540367355,1.749569168,0.702406158,2.13900589,2034_2009_6_d100,17,0,19.13900589,19.13900589,exp,17.58,19.13900589
2034,2009,7,1,2.195063553,2.272469482,0.912583313,1.500588379,2034_2009_7_d100,18,-2,16.49941162,21.04435059,exp,17.58,21.04435059
2034,2009,8,1,2.151612778,3.413192291,1.744990845,1.593286057,2034_2009_8_d100,19,-2,17.40671394,24.23309853,exp,17.58,24.23309853
2034,2010,6,1,2.216743393,3.035959167,0.37135498,0.478725357,2034_2010_6_d100,20,2,21.43617607,15.36425774,exp,17.58,15.36425774
2034,2010,7,1,0.488213882,2.161296234,0.576428757,1.059425964,2034_2010_7_d100,21,1,23.11885193,20.95755569,exp,17.58,20.95755569
2034,2011,7,1,1.112699432,2.288328094,0.576570435,0.15915863,2034_2011_7_d100,22,0,22.15915863,22.15915863,exp,17.58,22.15915863
2034,2012,7,1,0.539896622,1.050734863,1.05264534,1.958161011,2034_2012_7_d100,23,0,24.95816101,24.95816101,exp,17.58,24.95816101
2034,2013,7,1,1.328935623,2.871181488,0.575675964,0.488218307,2034_2013_7_d100,24,-2,23.51178169,29.25414467,exp,17.58,29.25414467
2034,2013,8,1,1.749291153,2.948626251,0.988642426,2.129505844,2034_2013_8_d100,25,2,31.38851753,25.49126503,exp,17.58,25.49126503
2034,2014,6,1,1.751997604,1.861820831,0.068749084,1.55676712,2034_2014_6_d100,26,1,29.11353424,27.25171341,exp,17.58,27.25171341
2034,2014,7,1,1.780418549,2.741066132,0.762855682,0.814607773,2034_2014_7_d100,27,1,28.62921555,25.88814941,exp,17.58,25.88814941
2034,2014,8,1,1.0774543,1.717486115,0.030474396,0.09795639,2034_2014_8_d100,28,0,28.09795639,28.09795639,exp,17.58,28.09795639
2034,2015,6,1,0.477289429,0.143572083,1.752013931,0.660062561,2034_2015_6_d100,29,1,30.32012512,30.17655304,exp,17.58,30.17655304
2034,2015,7,1,1.64654686,2.410762329,0.207511444,1.067040939,2034_2015_7_d100,30,2,33.20112282,28.37959816,exp,17.58,28.37959816
